sample_id	cell_line	condition	timepoint	replicate	R1_files	R2_files	n_R1_files
A549_c2_1	A549	control	2	1	/exports/eddie/scratch/s2906787/A549/raw_files/c2_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0009L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c2_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0009L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c2_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0009L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c2_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0009L01_2.fastq	2
A549_c2_2	A549	control	2	2	/exports/eddie/scratch/s2906787/A549/raw_files/c2_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0010L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c2_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0010L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c2_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0010L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c2_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0010L01_2.fastq	2
A549_c4_1	A549	control	4	1	/exports/eddie/scratch/s2906787/A549/raw_files/c4_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0014L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c4_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0014L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c4_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0014L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c4_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0014L01_2.fastq	2
A549_c4_2	A549	control	4	2	/exports/eddie/scratch/s2906787/A549/raw_files/c4_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0015L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c4_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0015L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c4_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0015L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c4_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0015L01_2.fastq	2
A549_c8_1	A549	control	8	1	/exports/eddie/scratch/s2906787/A549/raw_files/c8_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0019L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c8_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0019L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c8_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0019L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c8_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0019L01_2.fastq	2
A549_c8_2	A549	control	8	2	/exports/eddie/scratch/s2906787/A549/raw_files/c8_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0020L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c8_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0020L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/c8_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0020L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/c8_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0020L01_2.fastq	2
A549_p2_1	A549	polyIC	2	1	/exports/eddie/scratch/s2906787/A549/raw_files/p2_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0011L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0011L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/p2_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0011L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0011L01_2.fastq	2
A549_p2_2	A549	polyIC	2	2	/exports/eddie/scratch/s2906787/A549/raw_files/p2_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0012L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0012L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/p2_2/250521_A00291_0635_AH2FGMDRX7_1_37120TD0012L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_2/250521_A00291_0635_AH2FGMDRX7_2_37120TD0012L01_2.fastq	2
A549_p2_3	A549	polyIC	2	3	/exports/eddie/scratch/s2906787/A549/raw_files/p2_3/250521_A00291_0635_AH2FGMDRX7_1_37120TD0013L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_3/250521_A00291_0635_AH2FGMDRX7_2_37120TD0013L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/p2_3/250521_A00291_0635_AH2FGMDRX7_1_37120TD0013L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p2_3/250521_A00291_0635_AH2FGMDRX7_2_37120TD0013L01_2.fastq	2
A549_p4_1	A549	polyIC	4	1	/exports/eddie/scratch/s2906787/A549/raw_files/p4_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0016L01_1.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p4_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0016L01_1.fastq	/exports/eddie/scratch/s2906787/A549/raw_files/p4_1/250521_A00291_0635_AH2FGMDRX7_1_37120TD0016L01_2.fastq;/exports/eddie/scratch/s2906787/A549/raw_files/p4_1/250521_A00291_0635_AH2FGMDRX7_2_37120TD0016L01_2.fastq	2
